dim_isrc_sk,hg_stock_id,isrc
1288f21f3ae505adfd6cd17dbbec4f8a,P(2_B_O)_A2502_DKE07_01,QT2WN2501173
cf3c102cb661776ac816d76313946e63,P(2_B_O)_A2502_DKE07_02,QT2WN2501174
2e0669eb9c308fa966c1d2c642016ea1,P(2_B_O)_A2502_HĐH01_01,QT2WN2501175
81804d073dc8bb238c2a1fe47d4da853,P(2_B_O)_A2502_HĐH01_02,QT2WN2501176
057da07000af24498f26fd6328d18b52,P(1_B_O)_A2503_TPT01_01,QT2WN2501177
33e8278135f62bb24895e08eef108ea1,P(1_B_O)_A2503_TPT01_02,QT2WN2501178
d6748e66ee102774a5b3b07408945459,P(1_B_O)_A2503_TPT01_03,QT2WN2501179
2a975ec89bb795556cf33ae3c02106af,P(1_B_O)_A2503_TPT01_04,QT2WN2501180
77288185397b7208c863e294fe187fdf,P(1_B_O)_A2503_THT01_01,QT2WN2501181
69603c3640ef43fcb3cef9252bde8408,P(1_B_O)_A2503_THT01_02,QT2WN2501182
4d18fc48bab9356544744748943acf18,P(1_B_O)_A2503_THT01_03,QT2WN2501183
69d1cda2e3af33fae409f8e1449d16bd,P(1_B_O)_A2503_THT01_04,QT2WN2501184
35104946e924be39b4ffbb189dcc7c61,P(1_B_O)_A2503_THT01_05,QT2WN2501185
65174c6f7173af1255688bcf276c65b5,P(1_B_O)_A2503_HĐH01_01,QT2WN2501186
c655c59a5adcdbb3b1b9495c91e0901d,P(2_B_O)_B2503_PGL01_02,QT2WN2501191
d2dbfbfe987f74fe29acd70b5b9c4e67,P(2_B_O)_B2503_PGL01_03,QT2WN2501192
04c1d9b2b5c3d4ba0f5f05ec69341d3f,P(2_B_O)_B2503_PGL01_04,QT2WN2501193
5a015a9d504d7dc360f2b63e20f7a5e8,P(2_B_O)_A2502_LĐDN01_01,QT2WN2501194
836ab7c3c691433422f5941991c1c2cb,P(2_B_O)_A2502_LĐDN01_02,QT2WN2501195
24caa9b5ae29343d31f1fee5830ddb47,P(2_B_O)_A2502_LĐDN01_03,QT2WN2501196
105fe6cde68f62b421443fdec4e86e9e,P(2_B_O)_A2502_LĐDN01_04,QT2WN2501197
bdb5fc0075925edb8ad7b90821e40c99,P(2_B_O)_A2502_LĐDN01_05,QT2WN2501198
0e53c34f5211c17592f5127e5b86e1e4,P(2_B_O)_A2502_LTH01_01,QT2WN2501199
