fact_khsx_detail_sk,production_plan_detail_id,production_plan_id,production_manager,ar_manager,status
77f959f119f4fb2321e9ce801e2f5163,1502,19,33,39,approved
7501e5d4da87ac39d782741cd794002d,1201,12,33,45,draft
dbe272bab69f8e13f14b405e038deb64,592,9,30,40,approved
8d6dc35e506fc23349dd10ee68dabb64,940,10,33,47,approved
acc3e0404646c57502b480dc052c4fe1,593,9,33,40,approved
b4288d9c0ec0a1841b3b3728321e7088,657,9,33,47,approved
ad972f10e0800b49d76fed33a21f6698,374,9,30,40,draft
f61d6947467ccd3aa5af24db320235dd,375,9,30,40,draft
142949df56ea8ae0be8b5306971900a4,376,9,30,40,draft
884d79963bd8bc0ae9b13a1aa71add73,1160,12,33,43,draft
0537fb40a68c18da59a35c2bfe1ca554,744,10,33,38,draft
d34ab169b70c9dcd35e62896010cd9ff,377,9,30,40,draft
8bf1211fd4b7b94528899de0a43b9fb3,378,9,30,40,draft
a02ffd91ece5e7efeb46db8f10a74059,379,9,30,40,draft
bbcbff5c1f1ded46c25d28119a85c6c2,405,9,30,41,approved
4f4adcbf8c6f66dcfc8a3282ac2bf10a,404,9,31,41,approved
ccb0989662211f61edae2e26d58ea92f,755,10,32,39,draft
cb70ab375662576bd1ac5aaf16b3fca4,243,9,33,36,draft
060ad92489947d410d897474079c1477,221,9,31,36,draft
4e2545f819e67f0615003dd7e04a6087,1096,12,32,3233,draft
db2b4182156b2f1f817860ac9f409ad7,1097,12,32,3233,draft
a5e0ff62be0b08456fc7f1e88812af3d,1098,12,32,3233,draft
d490d7b4576290fa60eb31b5fc917ad1,600,9,32,38,approved
013d407166ec4fa56eb1e1f8cbe183b9,138,7,30,38,approved
e00da03b685a0dd18fb6a08af0923de0,139,7,30,45,approved
605ff764c617d3cd28dbbdd72be8f9a2,586,9,30,39,draft
40008b9a5380fcacce3976bf7c08af5b,340,9,33,39,draft
55a7cf9c71f1c9c495413f934dd1a158,492,9,32,44,draft
e56b06c51e1049195d7b26d043c478a0,1373,17,30,3298,draft
792c7b5aae4a79e78aaeda80516ae2ac,1374,17,30,3298,draft
b8c27b7a1c450ffdacb31483454e0b54,1355,16,30,3298,draft
bcc0d400288793e8bdcd7c19a8ac0c2b,1349,16,30,3298,draft
fb89705ae6d743bf1e848c206e16a1d7,727,10,33,37,draft
d5cfead94f5350c12c322b5b664544c1,730,10,31,37,draft
98d6f58ab0dafbb86b083a001561bb34,873,10,33,45,draft
5807a685d1a9ab3b599035bc566ce2b9,764,10,32,39,draft
f85454e8279be180185cac7d243c5eb3,422,9,31,42,draft
b265ce60fe4c5384e622b09eb829b8df,1445,19,33,38,draft
a5cdd4aa0048b187f7182f1b9ce7a6a7,737,10,33,38,draft
d4c2e4a3297fe25a71d030b67eb83bfc,728,10,31,37,approved
e995f98d56967d946471af29d7bf99f1,734,10,30,38,approved
d3157f2f0212a80a5d042c127522a2d5,3083,45,33,35,draft
8d317bdcf4aafcfc22149d77babee96d,747,10,33,38,draft
e49b8b4053df9505e1f48c3a701c0682,748,10,33,38,draft
470e7a4f017a5476afb7eeb3f8b96f9b,757,10,32,39,draft
bf62768ca46b6c3b5bea9515d1a1fc45,758,10,32,39,draft
8fb21ee7a2207526da55a679f0332de2,1446,19,33,38,draft
31839b036f63806cba3f47b93af8ccb5,817,10,33,41,draft
c930eecd01935feef55942cc445f708f,1447,19,33,38,draft
fa14d4fe2f19414de3ebd9f63d5c0169,759,10,32,39,draft
f0adc8838f4bdedde4ec2cfad0515589,818,10,33,41,draft
b495ce63ede0f4efc9eec62cb947c162,1253,12,32,3233,draft
e94f63f579e05cb49c05c2d050ead9c0,1448,19,33,38,draft
2dffbc474aa176b6dc957938c15d0c8b,1449,19,33,38,draft
c5cc17e395d3049b03e0f1ccebb02b4d,1450,19,33,38,draft
0266e33d3f546cb5436a10798e657d97,245,9,31,36,draft
03c6b06952c750899bb03d998e631860,252,9,31,36,draft
e0c641195b27425bb056ac56f8953d24,421,9,31,42,draft
500e75a036dc2d7d2fec5da1b71d36cc,707,10,32,37,draft
320722549d1751cf3f247855f937b982,320,9,33,38,draft
6786f3c62fbf9021694f6e51cc07fe3c,1452,19,33,38,draft
536a76f94cf7535158f66cfbd4b113b6,1453,19,33,38,draft
