id,sequence,expected_employees,no_of_employee,no_of_recruitment,department_id,company_id,contract_type_id,create_uid,write_uid,name,description,requirements,active,create_date,write_date,_source_id,_source_connection,_batch_id,_loaded_at
43,10,4,3,1,,,,6,6,"{""en_US"": ""Assistant"", ""vi_VN"": ""TL MKT""}",,,t,2025-08-18 17:49:26.327908,2025-09-01 16:04:55.701512,hr_job,odoo_pg,hr_job_20260822_051820,2026-08-22 05:18:20.715853
44,10,3,2,1,,,,6,6,"{""en_US"": ""Research & Development Officer"", ""vi_VN"": ""Research & Development Officer""}",,,t,2025-08-18 17:49:26.327908,2025-09-01 16:04:55.701512,hr_job,odoo_pg,hr_job_20260822_051820,2026-08-22 05:18:20.715853
50,10,4,3,1,,,,6,6,"{""en_US"": ""Quản lý Marketing"", ""vi_VN"": ""Quản lý Marketing""}",,,t,2025-08-18 17:49:26.327908,2025-09-01 16:04:55.701512,hr_job,odoo_pg,hr_job_20260822_051820,2026-08-22 05:18:20.715853
51,10,3,2,1,,,,6,6,"{""en_US"": ""Trưởng nhóm Marketing"", ""vi_VN"": ""Trưởng nhóm Marketing""}",,,t,2025-08-18 17:49:26.327908,2025-09-01 16:04:55.701512,hr_job,odoo_pg,hr_job_20260822_051820,2026-08-22 05:18:20.715853
46,10,2,1,1,,,,6,6,"{""en_US"": ""Color Grading Specialist"", ""vi_VN"": ""Colorist""}",,,t,2025-08-18 17:49:26.327908,2025-11-26 08:50:06.068741,hr_job,odoo_pg,hr_job_20260822_051820,2026-08-22 05:18:20.715853
60,10,2,1,1,,,,6,6,"{""en_US"": ""Trưởng nhóm 3D"", ""vi_VN"": ""Trưởng nhóm 3D""}",,,t,2025-08-18 17:49:26.327908,2025-09-01 16:04:55.701512,hr_job,odoo_pg,hr_job_20260822_051820,2026-08-22 05:18:20.715853
39,10,2,1,1,,,,6,2318,"{""en_US"": ""3D Artist Executive"", ""vi_VN"": ""3D Artist Executive""}",,,t,2025-08-18 17:36:45.959127,2025-11-28 08:21:39.964153,hr_job,odoo_pg,hr_job_20260822_051820,2026-08-22 05:18:20.715853
68,10,1,1,0,,,,6,6,"{""en_US"": ""TP MKT"", ""vi_VN"": ""TP MKT""}",,,t,2025-08-27 13:47:45.147776,2025-09-01 16:04:55.701512,hr_job,odoo_pg,hr_job_20260822_051820,2026-08-22 05:18:20.715853
70,10,1,0,1,,,,6,6,"{""en_US"": ""Nhân viên HG"", ""vi_VN"": ""Nhân viên HG""}",,,t,2025-09-01 16:02:17.114749,2025-09-01 16:04:55.701512,hr_job,odoo_pg,hr_job_20260822_051820,2026-08-22 05:18:20.715853
76,10,1,0,1,,,,6,6,"{""en_US"": ""Nhân viên IT"", ""vi_VN"": ""Nhân viên IT""}",,,t,2025-09-01 16:04:18.534865,2025-09-01 16:04:55.701512,hr_job,odoo_pg,hr_job_20260822_051820,2026-08-22 05:18:20.715853
